miRNA	DC	Pearson_corr	Spearman_Corr	Cluster_TB	Cluster
hsa-miR-203a-5p	0.039513100764817774	0.028299651465078464	0.03649331188109765	3	3
hsa-miR-203b-3p	0.05120461763064898	-0.026510320075089962	0.011411317779269412	3	2
hsa-miR-204-3p	0.06490361420198396	-0.055649164595778365	-0.040978041192269006	3	4
hsa-miR-204-5p	0.08389230689707053	0.06882238013105835	0.06921372702494656	3	3
hsa-miR-205-5p	0.07759016042906058	0.010596124361200318	0.06141296073291426	3	2
hsa-miR-206	0.09938647476450053	-0.0770884588551168	-0.057042673805772534	3	3
hsa-miR-208a-3p	0.08579292661846437	-0.08867115443439509	-0.05451539359468586	3	4
hsa-miR-208a-5p	0.04313924461781086	-0.03572695540969786	0.0065998158471174085	3	5
hsa-miR-208b-3p	0.04810787196810316	-0.017281453215980628	0.037905347011042506	3	3
hsa-miR-20a-3p	0.17623472705229193	-0.17784910680362065	-0.0405697762792184	3	1
hsa-miR-20a-5p	0.14691756748137097	-0.1626267362700852	-0.0912901290170797	3	1
hsa-miR-20b-3p	0.07651413981530138	0.008536125011533741	0.03689675245281154	3	2
hsa-miR-20b-5p	0.11238413009165749	-0.052790833283085904	-0.04487720335472111	3	1
hsa-miR-21-3p	0.16318591019680503	-0.16969322964638509	0.018349013214604765	3	2
hsa-miR-210-3p	0.08757502010618974	-0.02778073373700162	0.05797197312020488	3	3
hsa-miR-211-3p	0.050799154029759826	-0.03199497893955447	-0.0444564544837444	3	3
hsa-miR-211-5p	0.14369275314867264	0.10992357880078635	0.08224347834830477	3	3
hsa-miR-2110	0.15275646391495837	-0.11398963859258646	0.025841536546195813	3	5
hsa-miR-2113	0.05457583811591796	0.04782787608116187	0.0539159908853613	3	2
hsa-miR-2114-3p	0.052440979717812204	0.02990066114555437	0.0556896799186688	3	3
hsa-miR-2114-5p	0.1549459982074369	-0.15774925612654062	-0.015512781574239614	3	2
hsa-miR-2115-3p	0.08559658427784789	-0.0027931075997943205	0.05524820548527847	3	4
hsa-miR-2115-5p	0.193493910349086	-0.2049654866150336	-0.006941858722635813	3	3
hsa-miR-2116-5p	0.05944627443294091	0.0024048625999856053	0.05605707223696416	3	2
hsa-miR-212-3p	0.13294594303268537	-0.14968366718825502	0.04689859608560048	3	4
hsa-miR-212-5p	0.12273481858966952	-0.09734995450247157	0.01102446626197293	3	3
hsa-miR-214-3p	0.10195118505847486	0.027465830546150524	0.07057355388913378	3	3
hsa-miR-214-5p	0.09320770509173619	-0.09986612707833849	-0.08016154178718603	3	3
hsa-miR-215-3p	0.06478255028195372	-0.06127095355273105	-0.04148739765724938	3	3
hsa-miR-216a-3p	0.037480240003807015	0.025900250318422375	0.032114114455365925	3	3
hsa-miR-216a-5p	0.039400721560516425	-0.021110770950188137	-0.03256326290928713	3	3
hsa-miR-216b-3p	0.05837707670046665	-0.05001034927810021	-0.003872456272688082	3	3
hsa-miR-216b-5p	0.10741277312285145	0.09652658791429168	0.09288696736041231	3	3
hsa-miR-218-2-3p	0.03194660573216734	-0.005166391064803818	-0.008302851139246024	3	4
hsa-miR-218-5p	0.09466776366335866	-0.09901513160417627	-0.0664420421065829	3	3
hsa-miR-219a-1-3p	0.22245886172616067	-0.20749884195884222	-0.020516461691651965	3	3
hsa-miR-219a-2-3p	0.08347541198764329	-0.06974000440919297	-0.03439511814503843	3	3
hsa-miR-219a-5p	0.16447710303018312	-0.17106487952933455	-0.0027348847565960488	3	3
hsa-miR-219b-3p	0.05182577526974034	-0.021611113191108495	0.031956536220093215	3	2
hsa-miR-219b-5p	0.08214342907156405	0.08072219126717037	0.05680462367547946	3	3
