miRNA	Spearman_r	p_value
hsa-miR-3151-3p	-0.004507918320737637	0.8973193183862374
hsa-miR-5002-3p	-0.004520956540678109	0.8970239848322753
hsa-miR-4663	-0.0046065102247802615	0.895086431756524
hsa-miR-21-3p	-0.004610583189342034	0.8949942059171195
hsa-miR-10226	-0.004645218217354593	0.8942100078675879
hsa-miR-4716-5p	-0.00470645906210237	0.8928236602939289
hsa-miR-610	-0.004822398387554153	0.8901999672268869
hsa-miR-548g-3p	-0.004835710652342816	0.8898987885160423
hsa-miR-4533	-0.00484602233502359	0.8896655063309226
hsa-miR-10b-5p	-0.004913409839220289	0.8881412280500967
hsa-miR-3909	-0.0049819236728794025	0.8865918958799731
hsa-miR-874-3p	-0.005021787445538206	0.8856906382758721
hsa-miR-490-5p	-0.005040606172023352	0.8852652274856391
hsa-miR-6869-3p	-0.005074371206853739	0.884502027514908
hsa-miR-661	-0.005074371206853739	0.884502027514908
hsa-miR-4677-5p	-0.005107369377456772	0.8837562645168888
hsa-miR-509-3p	-0.005376214535456662	0.8776842170932406
hsa-miR-9899	-0.00539407160914324	0.877281153412034
hsa-miR-3156-5p	-0.005482038224328474	0.8752960669608574
hsa-miR-6848-3p	-0.005544860472783613	0.8738788758902339
hsa-miR-6791-3p	-0.005558462967772451	0.8735720737018495
hsa-miR-766-5p	-0.005622593692269331	0.8721258714183716
hsa-miR-6503-3p	-0.005668156358196169	0.8710986534982584
hsa-miR-522-3p	-0.00577394670398983	0.8687144321561784
hsa-miR-675-5p	-0.005786356984027888	0.8684348164683012
hsa-miR-7158-5p	-0.005809787323789064	0.8679069529149229
hsa-miR-4446-5p	-0.006136863211207208	0.8605444812221814
hsa-miR-4773	-0.0061694751302630605	0.8598110395326383
hsa-miR-4479	-0.006443709717186093	0.853648342248737
hsa-miR-520e-5p	-0.006545203440724389	0.8513697766331811
hsa-miR-548au-3p	-0.006573763892724566	0.850728807997172
hsa-miR-760	-0.006644605029477952	0.8491393798346157
hsa-miR-5002-5p	-0.006648505367302413	0.8490518875649945
hsa-miR-3180-5p	-0.006691528091125836	0.8480869263974157
hsa-miR-219a-2-3p	-0.006719954535129753	0.8474494712937208
hsa-miR-11401	-0.006887326446703048	0.8436982358402619
hsa-miR-3913-3p	-0.006893357473345409	0.8435631305080066
hsa-miR-6761-3p	-0.006937501806238352	0.842574361946966
hsa-miR-10b-3p	-0.006957185569895316	0.8421335541514993
hsa-miR-6846-5p	-0.006960450025997657	0.8420604531008217
hsa-miR-6506-3p	-0.007056282833536798	0.8399150745510913
hsa-miR-520h	-0.007129928813036395	0.8382671908681123
hsa-miR-4420	-0.0072006760519066695	0.8366848350359186
hsa-miR-10522-5p	-0.007234031090952453	0.8359390336572612
hsa-miR-6887-5p	-0.007275774489622455	0.8350058803620498
hsa-miR-583	-0.007280619557659714	0.8348975862221372
hsa-miR-5692c	-0.007296351006278572	0.8345459875972937
hsa-miR-6892-5p	-0.007371471674774908	0.8328674934670961
hsa-miR-6753-5p	-0.007374655173684311	0.8327963781937717
hsa-miR-4708-5p	-0.0074873909598112505	0.8302788903778812
hsa-miR-1323	-0.007620650977894077	0.8273053217250641
hsa-miR-592	-0.00768104733018852	0.825958446130833
hsa-miR-513b-5p	-0.007729578825754379	0.8248765342273547
hsa-miR-518f-5p	-0.007733100750939767	0.824798032897326
hsa-miR-219a-5p	-0.0077448821724759144	0.8245354456959376
hsa-miR-6742-5p	-0.007760339996638355	0.824190947667253
hsa-miR-4496	-0.007772888680351977	0.8239113085331972
hsa-miR-125b-2-3p	-0.007807524731650216	0.8231395828779544
hsa-miR-4433a-5p	-0.007830811412800169	0.8226208283915913
hsa-miR-1277-3p	-0.007875409724743248	0.8216275335634576
hsa-miR-762	-0.007886164493568134	0.8213880457023351
hsa-miR-6890-5p	-0.007896906087055684	0.8211488678155006
hsa-miR-1307-3p	-0.008028985137909405	0.8182092904722769
hsa-miR-6726-3p	-0.008213568449467213	0.8141054471272067
hsa-miR-515-5p	-0.00843746121844029	0.8091344731777537
hsa-miR-3611	-0.008494366902565888	0.8078722418960763
hsa-miR-3646	-0.008554846702577173	0.8065312798520048
hsa-miR-6831-5p	-0.008791639262808154	0.8012865952335807
