B.cells	Basophils	CD4..T.cells	CD8..T.cells	Eosinophils	Erythrocytes	Monocytes	Natural.killer.cells	Neutrophils	Plasma	Thrombocytes
5628-SL-1846	0.119803329376198	0.109952128076214	0	0.000320727419432781	0.164495741614905	0	0.0578185644360246	0.0178882419887109	0	0.477703686219034	0.0520175808694811
5628-SL-1084	0.0741764702715594	0.136455979099418	0	0.0125970025787992	0.200404254763958	0	0.0338304278732311	0.0161711781374091	0	0.475846804709238	0.0505178825663876
5628-SL-1494	0.104478921736593	0.0726590205905272	0	0.0108668140727208	0.19557477354609	0	0.0599561232484293	0.0301916136947821	0	0.476025910810454	0.0502468223004042
5628-SL-0620	0.0434741030053594	0.196999532139915	0	0.0144448864602931	0.206067995175438	0	0.00848730617634063	0.00461346876151682	0	0.475277987090438	0.0506347211906987
5628-SL-3985	0.118655558229184	0.0542863364912477	0	0.00776025778438371	0.200462366666771	0	0.0700238820704622	0.0271816587294976	0	0.471374588255841	0.0502553517726125
5628-SL-3040	0.127406427691885	0.0498764947140499	0	0	0.205192520931561	0	0.0676361163306448	0.0432147607032732	0	0.457475113414263	0.0491985662143234
5628-SL-0728	0.10979071558755	0.119437410746715	0	0.00183816064505861	0.170438466180036	0	0.0509554210542087	0.0175405938842844	0	0.478166140279271	0.0518330916228761
5628-SL-3111	0.141943451964339	0.0905487591238619	0	0	0.151921461342301	0	0.0678378384856636	0.0207691258593447	0	0.474729719960973	0.0522496432635172
5628-SL-1483	0.133253910980685	0.0894302807731093	0	0	0.159421572953806	0	0.0692233715905067	0.0225289328357684	0	0.474348153718589	0.0517937771475356
SRR9844377	0.0433130515028756	0.209398179248512	0	0	0.20597003490997	0	5.73086838280373e-05	0.00870356269042337	0	0.480974820859855	0.0515830421045357
5628-SL-2025	0.107419353537813	0.116642828576432	0	0.00253954953028036	0.176222400656183	0	0.050038899520936	0.0184049897904409	0	0.477185855612068	0.0515461227758469
5628-SL-0296	0.128010144058324	0.0936415290266023	0	6.67110804353829e-05	0.160309414201424	0	0.0657439555505042	0.0232703476892548	0	0.477026621881065	0.0519312765123909
5628-SL-0730	0.102809959676373	0.122626685760669	0	0.00387630933417493	0.177368274333791	0	0.0476606891061	0.0178423448318303	0	0.476403083543336	0.0514126534137251
5628-SL-0132	0.125943471690007	0.0824409868245916	0	0.00112903317691816	0.173082686042259	0	0.0656751355615842	0.0239749223935906	0	0.476209345842366	0.0515444184686829
5628-SL-1248	0.136150310509277	0.0889238130601878	0	0	0.155965391163242	0	0.068223757730504	0.0225539533006656	0	0.476074285091168	0.0521084891449559
5628-SL-1669	0.122518296120017	0.0847412491934306	0	0.00295558021356428	0.170065435213232	0	0.0648842251130474	0.0261596783499246	0	0.477138917448585	0.0515366183481996
5628-SL-2143	0.0951858392737829	0.134549269087636	0	0.00347763607144911	0.180016221362839	0	0.0398788499438973	0.0161939390879974	0	0.479159911774068	0.0515383333983303
SRR10416533	0.0611524149775565	0.173848810027771	0	0.00658859663652106	0.194983689039272	0	0.0193133612316911	0.012656641917473	0	0.480038772913922	0.0514177132557941
SRR9844362	0.0598680531676306	0.178449296901912	0	0.00643228168494333	0.205989629628681	0	0.0198515710124333	0.013400361927353	0	0.466667503969745	0.0493413017073013
5628-SL-2041	0.0924503454385609	0.100128173766049	0	0.0117102013941139	0.19698406948364	0	0.0496267877243277	0.024473986068727	0	0.47440208813444	0.0502243479901411
5628-SL-2085	0.100450533914881	0.113595533211153	0	0.00629057943006577	0.18078030694807	0	0.049423380708927	0.0214197344699925	0	0.476873200850377	0.0511667304665332
5628-SL-0291	0.0371369803351121	0.21421266670539	0	0.0107733501607289	0.205854392324995	0	0.00140258090891183	0.00224300251586613	0	0.477312483809823	0.0510645432391731
5628-SL-0367	0.105044895576413	0.103204584837487	0	0.00654816008555578	0.179975187833585	0	0.0539351543353511	0.0230427025725656	0	0.477022238224085	0.0512270765349573
