miRNA	Sex	Disease_Condition	Age	Residual
hsa-miR-3661	0.0004763766116996974	0.05648953361813978	0.0006323349578278366	0.9424017548123327
hsa-miR-3662	0.00015765597721174222	0.025238255231999303	6.620394066328122e-07	0.9746034267513823
hsa-miR-3663-3p	0.0002366300383452038	0.0012271166035298785	4.303314920697078e-06	0.9985319500432042
hsa-miR-3663-5p	5.12448424302756e-05	0.015644366305586417	6.635265330431132e-06	0.9842977535866528
hsa-miR-3664-3p	7.992470886506223e-05	0.02567114403090446	0.00015645931482475786	0.9740924719454058
hsa-miR-3664-5p	3.993274943504629e-05	0.015068486412484766	0.00010311243911955838	0.9847884683989606
hsa-miR-3665	7.755085361418682e-05	0.0008572675275387345	0.0012041966698451258	0.9978609849490019
hsa-miR-3667-3p	0.0009473219357020472	0.2575085835070147	0.00043322537954358626	0.7411108691777396
hsa-miR-3667-5p	0.0013789891276949071	0.25990978502486306	0.00047144305797499936	0.7382397827894671
hsa-miR-367-3p	0.0002768949384739778	0.0005633774007064166	6.4990282862814465e-06	0.9991532286325333
hsa-miR-3670	9.861415379362993e-05	0.00042541875210404863	3.9372918210652013e-07	0.9994755733649202
hsa-miR-3674	0.0003668975037749161	0.023593839150224272	2.0910721269409905e-05	0.9760183526247315
hsa-miR-3675-3p	0.0011751789534681868	0.030692841598900504	2.9892267211274515e-05	0.96810208718042
hsa-miR-3675-5p	4.0180623564803984e-05	0.04792931792103391	0.0003015200702817099	0.9517289813851196
hsa-miR-3677-3p	3.858593799333463e-05	0.36208735398353054	5.674164357142255e-05	0.6378173184349047
hsa-miR-3677-5p	1.0130512785886574e-07	0.1872792198361098	7.947604986959459e-07	0.8127198840982637
hsa-miR-3678-3p	6.087212886336915e-05	0.014624606353597048	4.891205212157932e-07	0.9853140323970183
hsa-miR-3678-5p	7.807635506533182e-06	0.014086099708624726	0.0005746021321416017	0.9853314905237271
hsa-miR-3679-3p	0.00024275186444627393	0.021819836796161077	9.676268517272011e-05	0.9778406486542199
hsa-miR-3679-5p	0.00048783204851182097	0.1075277229015961	2.6651203248350844e-05	0.8919577938466436
hsa-miR-3680-3p	7.131372389221157e-05	0.030776831005049115	0.00033882153460678034	0.9688130337364519
hsa-miR-3680-5p	2.3251701984727235e-05	0.4187507126950814	9.250780784414425e-05	0.5811335277950898
hsa-miR-3681-3p	0.0002365293662305982	0.0010431904381166077	7.91189664891898e-06	0.9987123682990039
hsa-miR-3681-5p	4.982000664888437e-05	0.3501067055037188	0.000493161270025426	0.649350313219607
hsa-miR-3682-3p	6.470671117219694e-05	0.18789019339733884	0.0004712352314724262	0.8115738646600165
hsa-miR-3682-5p	8.780524290653407e-05	0.06476703563803878	4.487501689697064e-06	0.9351406716173649
hsa-miR-3683	4.2775793084711296e-05	0.00239902926380185	0.0007307604815701552	0.9968274344615432
hsa-miR-3684	9.186711535113241e-05	0.23416617680925525	0.0016230840820173815	0.7641188719933764
hsa-miR-3685	0.0005677462490522249	0.2105758343995071	4.607739582318559e-05	0.7888103419556175
hsa-miR-3686	0.00019410353943903654	0.05374711353018828	0.0001765464510370564	0.9458822364793356
hsa-miR-3688-3p	0.0016997974337655342	0.5177664319665319	0.00047309101530868664	0.48006067958439386
hsa-miR-3688-5p	4.337991064781695e-05	0.05869618312545492	0.0002092402970501005	0.9410511966668471
hsa-miR-3689a-3p	0.00021843950819960115	0.0004654064925009396	0.00019121389402375756	0.9991249401052757
hsa-miR-3689a-5p	3.804682378977565e-05	0.0016613684684485981	9.653509043721777e-07	0.9982996193568572
hsa-miR-3689b-3p	8.474905468112311e-05	0.0008486725418036932	0.00018999594950193556	0.9988765824540133
hsa-miR-3689b-5p	3.804682378977565e-05	0.0016613684684485981	9.653509043721777e-07	0.9982996193568572
hsa-miR-3689c	8.474905468112311e-05	0.0008486725418036932	0.00018999594950193556	0.9988765824540133
hsa-miR-3689e	3.348649989304479e-05	0.001655344568618807	1.6828115677209918e-07	0.9983110006503314
