MiRBase ID	Family
hsa-mir-519a-2	MIR-430
hsa-mir-516a-1	MIR-430
hsa-mir-516a-2	MIR-430
hsa-mir-431	MIR-431
hsa-mir-432	MIR-432
hsa-mir-433	MIR-433
hsa-mir-448	MIR-448
hsa-mir-450a-2	MIR-450
hsa-mir-450a-1	MIR-450
hsa-mir-450b	MIR-450
hsa-mir-451a	MIR-451
hsa-mir-452	MIR-452
hsa-mir-455	MIR-455
hsa-mir-802	MIR-459
hsa-mir-483	MIR-483
hsa-mir-484	MIR-484
hsa-mir-486-1	MIR-486
hsa-mir-488	MIR-488
hsa-mir-489	MIR-489
hsa-mir-490	MIR-490
hsa-mir-491	MIR-491
hsa-mir-493	MIR-493
hsa-mir-499a	MIR-499
hsa-mir-504	MIR-504
hsa-mir-505	MIR-505
hsa-mir-514a-3	MIR-506
hsa-mir-514a-2	MIR-506
hsa-mir-514a-1	MIR-506
hsa-mir-510	MIR-506
hsa-mir-509-1	MIR-506
hsa-mir-509-3	MIR-506
hsa-mir-509-2	MIR-506
	MIR-506
hsa-mir-514b	MIR-506
hsa-mir-507	MIR-506
hsa-mir-508	MIR-506
hsa-mir-506	MIR-506
hsa-mir-513a-2	MIR-506
hsa-mir-513a-1	MIR-506
hsa-mir-513b	MIR-506
hsa-mir-513c	MIR-506
hsa-mir-892b	MIR-506
hsa-mir-892a	MIR-506
hsa-mir-888	MIR-506
hsa-mir-890	MIR-506
hsa-mir-892c	MIR-506
hsa-mir-511	MIR-511
hsa-mir-541	MIR-541
hsa-mir-542	MIR-542
hsa-mir-544a	MIR-544
hsa-mir-550a-1	MIR-550
hsa-mir-550a-3	MIR-550
hsa-mir-550a-2	MIR-550
hsa-mir-551a	MIR-551
hsa-mir-551b	MIR-551
hsa-mir-552	MIR-552
hsa-mir-556	MIR-556
hsa-mir-561	MIR-561
hsa-mir-574	MIR-574
hsa-mir-576	MIR-576
hsa-mir-577	MIR-577
hsa-mir-579	MIR-579
hsa-mir-580	MIR-580
hsa-mir-582	MIR-582
hsa-mir-584	MIR-584
hsa-mir-585	MIR-585
hsa-mir-589	MIR-589
hsa-mir-590	MIR-590
hsa-mir-592	MIR-592
hsa-mir-598	MIR-598
hsa-mir-599	MIR-599
hsa-mir-605	MIR-605
hsa-mir-615	MIR-615
hsa-mir-616	MIR-616
hsa-mir-624	MIR-624
hsa-mir-628	MIR-628
hsa-mir-629	MIR-629
hsa-mir-642a	MIR-642
