miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes
hsa-miR-493-3p	1.3492748228445894	0.03346856306238691	0.11546541281805535	0.5513837735517364	0.10709370544504776	0.024646516203323157	0.4551551884200197	4.76691866773946	0.2949778763088905	0.3900548967056384	19.2154163496682
hsa-miR-493-5p	1.7030062269349422	0.03992277820134626	0.14242198915426954	0.9647768329597745	0.24561379297705618	0.0	0.4236033769905237	5.48797786329263	0.4719320475757348	0.013439391283644093	28.36318325444948
hsa-miR-494-3p	3.7289242678978405	0.10226505380173777	0.20215754459980267	1.4039953782246104	0.47835190174815645	0.0	0.7811638861082437	5.021447981538236	0.3270452254686359	0.8103416935561547	28.62473250903328
hsa-miR-497-5p	40.275755008094954	0.8460559307152073	2.6600468038344443	8.240165225083693	0.9669864875250095	0.5435796361508756	1.1579771161710282	17.56901974681616	0.7461394997138999	1.7938743005573095	6.722185115548282
hsa-miR-4999-5p	3.461533977380588	3.876987694233945	3.389756995159735	7.034648364148082	3.4293622922680176	1.181383226113907	0.7232751939184895	3.183139461413447	1.7549896881059124	0.33691090530772316	0.6626848997874168
hsa-miR-499a-5p	2.2512940881913863	0.8493033600910405	2.1985014871951325	3.73441585811409	8.666484350221817	0.26657401986776846	2.0272645893616326	3.462574298109618	3.3143028895403748	0.43365434149037957	0.8280803131915524
hsa-miR-5001-3p	1.829273824399287	0.35994788548627044	2.396062525293896	4.637484145701867	1.1341238244366714	0.9786538208523349	3.3188003067046	1.8096882771886291	0.935465684108175	1.3129877596757946	0.32470251301576786
hsa-miR-5009-5p	0.2762936419135969	0.5820070746294862	0.37492865799372743	0.5285140918110571	0.5256672965741795	0.9494769393529706	0.8421842213432355	0.6746034126583429	0.7293215589379385	0.2033855418723427	0.08125640079186151
hsa-miR-500a-3p	16.996911231940786	9.535150445533606	23.131038550258854	24.536265609807995	21.41729425919437	19.481995918270368	158.63030906131112	37.54874619360465	20.554762824604992	30.876101592532706	8.837800389972127
hsa-miR-500a-5p	3.5422309837945325	1.0006092072524082	5.156239511746225	7.549921856059191	4.3449694866608395	2.993690783917744	25.620866715488656	5.647742011572298	2.4703413091917708	4.235231685656462	1.6876455935465282
hsa-miR-500b-3p	0.27245096580289224	0.19043284791022258	0.2514664438383186	0.14643325317118908	0.28948228038540813	0.05969477678801909	2.267895114951133	0.5797256581795289	0.19373478705275954	0.05110024326959765	0.06318534644818782
hsa-miR-500b-5p	3.087472555346136	0.5210184120911303	4.2245641377249825	6.677841548499853	3.7864763231661174	2.871308842311999	15.75431920235667	4.558501361161532	2.1843669398325996	3.9485301469070544	1.2949879475979085
hsa-miR-501-3p	9.89546566890986	4.185006761269234	6.295452021113171	9.484251135082035	6.407698882691955	15.906875348003906	29.772706591207445	11.48262526784459	6.417365991784381	70.57121591290405	3.4024169243932314
hsa-miR-501-5p	0.7284831896532195	0.8025072565360489	0.910282731707885	1.2431365407980186	0.8377582396802175	0.8792899383641277	5.7713130875587515	1.2639723373895222	1.047512304983792	7.987010182974956	0.15025240188241357
hsa-miR-5010-3p	0.7989382558763728	0.22809840226123923	0.12783779492265404	0.11541506878689013	0.5500746698800182	1.96910113743935	1.165212202358228	0.1368030094353009	0.5470351812387559	5.569774795787804	0.6263677763664415
hsa-miR-5010-5p	0.29404205267780875	0.7684637302216663	0.04814616563986912	0.013963063301007097	0.3903394114320132	7.472095496739858	0.6877903124241437	0.04335318794411867	0.46627281363687495	9.771721439290213	1.7267129234961538
hsa-miR-502-3p	15.54455270069619	5.996635367758772	18.435682341988706	21.714885795540155	13.95116508849972	13.706373171186131	55.04892451105107	21.917018290907226	11.90205075814125	24.42094399313576	3.6027673248624845
hsa-miR-502-5p	0.24875871194534402	0.3999279701858117	0.36599039662738936	0.6578052216116472	0.3017875433674132	0.23603951839734455	2.5300064871169963	0.35596144041153915	0.22978031735856488	0.05224463569378394	0.10373007372627706
hsa-miR-503-3p	0.013596734147871345	0.9120330504561638	0.1451246093466025	0.17168631236561793	1.9985810230240177	0.07669132045099351	2.3961454726243536	0.19292548873691023	0.7159932566211822	0.04273413984515102	0.4737356525670835
hsa-miR-503-5p	1.9309836822821465	7.4256902979015	2.7737508402096225	2.287552147697629	26.059664978841976	43.760029024359824	52.76775201428442	3.154267738267003	18.56674458356739	32.54713175940322	9.004392258041454
hsa-miR-504-5p	0.013291283033571731	0.03777006738242912	0.043897415732487885	0.02999856642888637	0.949387877727148	0.0	0.8527217951770995	0.09167008203491285	13.356257406708837	0.6126457528896039	1.463924446086466
hsa-miR-505-3p	30.048662923983674	16.900521758271296	28.14246651132135	52.31352210358505	74.29092880208694	3.8336130793784307	92.14560949110884	84.60665284706785	56.94213007048779	6.3481535189519525	15.890661452469539
hsa-miR-505-5p	17.653815145393597	9.201029938754914	6.353518424935714	9.436228266505097	15.73154363245932	20.09129510265669	19.60677205200644	33.915081401716016	17.21685996267118	15.03061307608979	12.308335177734277
hsa-miR-508-3p	0.02346212775568907	1.1076917819080014	9.131668801572355	3.7897872922068125	0.05395461776247501	0.02123141823640652	0.005492498032016798	0.8560728621259535	0.0016899614192829654	0.0	0.08877198702756584
hsa-miR-509-3p	0.06513926319303516	1.8713612780610402	9.184507897136417	5.217484216928018	0.14454615144399374	0.18009343408670764	0.026140232134392257	0.8885468192400455	0.49078172481068616	0.024342252281790638	0.5241049580445215
hsa-miR-5100	4.198394846732264	1.4605215807432612	2.7917021965781976	4.027513148984995	5.572491334883992	0.4507168529085887	9.276425801127347	3.99337558792236	5.41404049395772	0.20447377723170543	0.24388673103776612
hsa-miR-513c-5p	0.023291860360673763	0.08879716993527459	3.1915475962295625	0.9639855758199722	0.007096270303122538	0.004626361279950254	0.0	0.29115823852662737	0.006083302800998434	0.0	0.0031000361181941155
hsa-miR-514a-3p	0.035833322608612515	0.72311241255575	6.283850949187204	4.28738412987466	0.10847188139284193	0.06345256628448973	0.014857050060446702	0.6163349120648626	0.01792086926632645	0.0	0.10458606961678041
