Sample	cell_type	Bases
SRR23591286	Erythrocytes	2146796328
SRR23591287	Erythrocytes	1485740107
SRR23591288	Erythrocytes	2080034318
SRR23591289	Erythrocytes	1704352302
SRR23591290	Erythrocytes	1431659904
SRR23591291	Erythrocytes	2447181744
SRR23591292	Erythrocytes	1909132428
SRR23591293	Erythrocytes	2749846848
SRR23591294	Erythrocytes	1971667152
SRR23591295	Erythrocytes	1630518708
SRR23591296	Erythrocytes	1767137316
SRR23591297	Erythrocytes	1926456504
SRR23591298	Erythrocytes	1692218640
SRR23591299	Erythrocytes	1701819084
SRR23591300	Erythrocytes	1974422268
SRR23591301	Erythrocytes	2185189944
SRR23591302	Erythrocytes	1968847272
SRR23591303	Eosinophils	1597292183
SRR23591304	Eosinophils	1598679594
SRR23591305	Eosinophils	2428216969
SRR23591306	Eosinophils	2100781228
SRR23591307	CD8+ T cells	1244378092
SRR23591308	CD8+ T cells	1332534887
SRR23591309	CD8+ T cells	1538659389
SRR23591310	CD8+ T cells	1050914736
SRR23591311	CD8+ T cells	1134035501
SRR23591312	CD8+ T cells	1538215142
SRR23591313	CD8+ T cells	751577032
SRR23591314	CD8+ T cells	700687356
SRR23591315	CD8+ T cells	1265247264
SRR23591316	CD8+ T cells	975204596
SRR23591317	CD8+ T cells	978400093
SRR23591318	CD8+ T cells	1273616232
SRR23591319	CD8+ T cells	1349461176
SRR23591320	CD8+ T cells	1477238280
SRR23591321	CD8+ T cells	1371286140
SRR23591322	CD8+ T cells	1339926336
SRR23591323	CD8+ T cells	813356208
SRR23591324	CD8+ T cells	1220761584
SRR23591325	CD8+ T cells	1495382616
SRR23591326	CD8+ T cells	1200422076
SRR23591327	CD8+ T cells	1458995412
SRR23591328	CD8+ T cells	1424241504
SRR23591329	CD8+ T cells	1755044172
SRR23591330	CD4+ T cells	1028281427
SRR23591331	Basophils	1788297590
SRR23591332	Basophils	888215112
SRR23591333	Basophils	447121293
SRR23591334	Basophils	1877904276
SRR23591335	Basophils	1276776244
SRR23591336	Basophils	821245711
SRR23591337	Basophils	1298569481
SRR23591338	Basophils	1510697743
SRR23591339	Basophils	826701635
SRR23591340	Basophils	928743900
SRR23591341	Basophils	1853066488
SRR23591342	Basophils	2110320828
SRR23591343	Basophils	1341132744
SRR23591344	Basophils	2520563472
SRR23591345	Basophils	1169021280
SRR23591346	Basophils	2271037860
SRR23591347	Basophils	1336015380
SRR23591348	Basophils	1501656156
SRR23591349	Basophils	1824573660
SRR23591350	Basophils	2242511376
SRR23591351	Basophils	2001995688
SRR23591352	Basophils	1843336656
SRR23591353	Basophils	2367228024
SRR23591354	B cells	1502581520
SRR23591371	Thrombocytes	1057429696
SRR23591372	Thrombocytes	1125229868
SRR23591373	Thrombocytes	1493356703
SRR23591374	Thrombocytes	1376638525
SRR23591375	Thrombocytes	750514517
SRR23591376	Thrombocytes	1187280531
SRR23591377	Thrombocytes	986334911
SRR23591378	Thrombocytes	1116079317
SRR23591379	Plasma	1287502020
SRR23591380	Plasma	1154574540
SRR23591381	Plasma	1437203796
SRR23591382	Plasma	1126011012
SRR23591383	Plasma	1582632240
SRR23591384	Neutrophils	2363573173
SRR23591385	Neutrophils	2962940192
SRR23591386	Neutrophils	2353203765
SRR23591387	Neutrophils	1853414814
SRR23591388	Neutrophils	2056051938
SRR23591389	Neutrophils	3328715791
SRR23591390	Neutrophils	3091126574
SRR23591391	Neutrophils	2161085717
SRR23591392	Neutrophils	3502764268
SRR23591393	Neutrophils	2902458629
SRR23591394	Neutrophils	1931478533
SRR23591395	Neutrophils	2328151628
SRR23591396	Neutrophils	2317116808
SRR23591397	Neutrophils	2157550272
SRR23591398	Neutrophils	3221749676
SRR23591399	Neutrophils	2769577656
SRR23591400	Neutrophils	2257227314
SRR23591401	Neutrophils	2889364667
SRR23591402	Neutrophils	3578065093
SRR23591403	Neutrophils	986219136
SRR23591404	Neutrophils	948757992
SRR23591405	Neutrophils	1024439052
SRR23591406	Neutrophils	750587880
SRR23591407	Neutrophils	780427704
SRR23591408	Neutrophils	947165856
SRR23591409	Neutrophils	856553292
