miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes	Tissue_of_max_Expresison	TSI
hsa-miR-340-5p	51.326991764091375	361.86041899690895	86.41470796589034	117.47104693228576	1203.2297067244267	34.06922513289748	894.9205529300367	195.02188570426063	574.0903798661527	37.04766375843344	304.9650772804151	Eosinophils	0.7791620390120619
hsa-miR-342-3p	13878.84531725817	6048.922079031896	27843.11570262549	40565.69371522124	5533.504455949492	71.07557858481462	2277.9272819947973	35650.10626846866	1048.9992666814408	544.6061764704248	1076.3229890259418	CD8+ T cells	0.7683426153739605
hsa-miR-342-5p	114.3351356975912	31.158185057320274	165.25719303391452	165.42251625783197	38.52823900304148	2.984999396156017	29.401376856325506	256.1610397052151	7.752173636047429	2.188970244062368	5.020603025861521	Natural killer cells	0.7805874801043331
hsa-miR-345-3p	0.086508290193599	0.101394574474814	0.097502747973415	0.092180429436123	0.5633803567470353	0.0182802251254456	2.253415170096836	0.0972902260502966	0.2154688610343277	0.2184169142058361	0.5427838825855024	Monocytes	0.9097722188610712
hsa-miR-345-5p	11.367111918421177	20.72956685761379	14.554954268989372	15.584177250221028	124.9748224133758	7.019412615383841	281.5106071585182	19.17123157364305	73.28908260770112	28.38884847300725	19.50838105542113	Monocytes	0.8811456547193719
hsa-miR-34a-5p	149.6770336762224	85.42240650769259	202.0630081850576	187.2548250429004	30.24791294449884	1.892953062393196	42.80722840568808	157.9132116672074	29.198821353190237	17.52544277470936	16.267865721392493	CD4+ T cells	0.6445625017627518
hsa-miR-34c-5p	0.0586953510214287	0.6414118468871816	1.284087913438536	3.5630840358978197	0.4991766574647284	0.0024319289547818	2.8042490103688538	0.4654668350488832	6.95861794389926	0.1043478727741068	0.1488423633886326	Neutrophils	0.8624469127000038
hsa-miR-3605-3p	4.918343088005001	6.062942204624546	4.284300758354627	6.585429342502924	8.143498195806863	15.30085050825522	15.442579098019085	11.740645320253574	23.99804808352184	21.965556038146243	2.832915739614135	Neutrophils	0.594645948057846
hsa-miR-3605-5p	0.8517827869887475	0.679676011059366	0.7668082164305484	0.6876533693548006	0.6750942585460613	3.870869870111101	1.9421895165822476	1.8599315031396504	3.050422461537299	3.1520939729217363	0.1676139745111186	Erythrocytes	0.6426315909536235
hsa-miR-3609	5.587724377689936	1.5820093685768284	2.005881947903146	2.061566253264401	1.7663137295691684	0.0	0.8852227627987156	2.537940063481312	1.84966283008646	0.0	0.0300064767419342	B cells	0.7723831282157825
hsa-miR-361-3p	2469.510207621616	599.2924151912732	1695.847180029637	2433.4954485226463	332.1500198998674	58.0232201420411	498.4221590545377	1711.4925302532647	307.11221749851205	142.34214843544902	91.28514084267096	B cells	0.6813350900278734
hsa-miR-361-5p	662.7476286927351	249.4634645925929	636.8645327234624	1172.9383305276006	960.6714614861648	32.73826994730497	801.5471385039029	859.261291573232	457.3343932404116	83.56118839624718	203.1542877748908	CD8+ T cells	0.5782093970187183
hsa-miR-3611	0.485502485935734	0.6351243463869807	1.2269030501688725	3.226734030333884	1.2814244861188449	0.5973023024163943	1.3437125402466064	2.4923394545089024	2.674896494096524	0.8878303500015127	1.4658331491651555	CD8+ T cells	0.594299730440102
hsa-miR-3613-3p	0.9266334558640428	0.266012219797724	1.1600823188691585	1.8313804129517357	7.217559162974108	0.6071429826961261	9.861296152165842	2.5538389186336734	4.041722697752709	3.433331003389881	0.5684567309127645	Monocytes	0.7707587364275951
hsa-miR-3613-5p	38.54598114893708	41.52421737852456	43.86090798743218	101.22700236959756	73.03447151623182	226.7227591258753	74.9149090285645	126.87115377165334	177.05702875811377	109.49434369026064	31.87952480639903	Erythrocytes	0.6390262964286979
hsa-miR-3614-3p	1.337919191705634	0.6158838465854667	0.5561908530176091	1.1866399855206669	1.00862606334315	0.0084620958477032	2.4335683099114807	0.8738896003417793	3.7462892759923343	0.278088825278645	0.003616397391299	Neutrophils	0.7783704205077936
hsa-miR-3614-5p	1.5927814416426644	7.710792119807317	0.6657519174652702	0.3932857784450038	3.738138616199617	0.0152417551419068	13.048556832871324	3.0089353524318896	27.620176471966587	0.1168243630654051	0.1598700553857075	Neutrophils	0.8897538606845548
